hashtags:,#yucatan,#yucatecos,#gastronomiayucateca
bogalunar,18065178641228369,https://www.instagram.com/p/DTMIoBZjP-K/,Con queso Oaxaca la mía.
xgerardvpr45,17969521242004754,https://www.instagram.com/p/DTMIoBZjP-K/,La cochinita si lleva limón
merpinos,17991922049866042,https://www.instagram.com/p/DTMIoBZjP-K/,La que más me ofendió fue lo de la marquesita 🙄🫣
lenn_cn,17995315082899463,https://www.instagram.com/p/DTMIoBZjP-K/,Las marquesitas son yucatecas?
jeanesiitaa,18102658093796938,https://www.instagram.com/p/DTMIoBZjP-K/,Por fin entendí 🤓🤓🤣
benjamin_jjgg,18053754506401065,https://www.instagram.com/p/DTMIoBZjP-K/,Me dio hambre... 🤤
gracielagzzr,18018847415799268,https://www.instagram.com/p/DTMIoBZjP-K/,Es lo equivalente a decir jeb en Monterrey jajajaja
rebecafrancopatron,18420362161136319,https://www.instagram.com/p/DTMIoBZjP-K/,"Ashhh ! Me fui enojando poco a poco y lo que exploto en  mi cerebro fue la marquesita sin queso! Y eso que no soy de Yucatán, soy del otro extremo de la república Mexicana, ese haaa es como .... Me enoja !!!🤣🤣🤣🤣🤣🤣"
undesconocidosinconocer,18116241022581851,https://www.instagram.com/p/DTMIoBZjP-K/,😻
santana.bautista.927,18416794618138788,https://www.instagram.com/p/DTMIoBZjP-K/,El Reyeno negro es como lodo con lonbris
sally_bqz,18385148272144987,https://www.instagram.com/p/DTMIoBZjP-K/,"😂😂Totalmente de acuerdo, ya me encabrone solo de verlo"
gael.stgo,18098822407878138,https://www.instagram.com/p/DTMIoBZjP-K/,Pasa lo mismo con los oaxaqueños. Y quizá también con los Veracruzanos...
diablolightning,18090423880967811,https://www.instagram.com/p/DTMIoBZjP-K/,Sin queso peludo
paola.ortega82,18075191945348853,https://www.instagram.com/p/DTMIoBZjP-K/,Quiero ir a tu tierra a comer todo lo delicioso que hacen allá ❤️
luisrene_29,17873819022394569,https://www.instagram.com/p/DTMIoBZjP-K/,"“ lo busco , lo busco y no lo busco” 😂"
el_vaquerito01,18196382629329688,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
morenofloresmauro,18113541745623058,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
arizakohaku,17974543901972238,https://www.instagram.com/p/DTMIoBZjP-K/,Te falto el Xec 😊
israyado,17977169444971907,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
medinaracci,18495464770079333,https://www.instagram.com/p/DTMIoBZjP-K/,Que hostil decir “Marquesita sin queso de bola” hay gente que la linchan por menos
gustavoa.g,17881833435341439,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajajaja una marquesita sin queso... pos mejor comete una tortilla jajajajajajaja
pitotrujeque11,18066740816545130,https://www.instagram.com/p/DTMIoBZjP-K/,"Nada que ver con el punto del video pero, que tienen encima los papadzules? Longaniza? Se ven increíbles!🔥🔥🔥"
krnal130578,17875848744467749,https://www.instagram.com/p/DTMIoBZjP-K/,😍😍😍🫂🫂🫂🫂
celadron,17960887965010024,https://www.instagram.com/p/DTMIoBZjP-K/,🤣🤣😅😅🤣😂😂🤣🤣😅🤣😂😂😂🤣🤣😅🤣😂😂🤣🤣😅😅🤣😂😂🤣😅😅😅🤣🤣😅🤣😂😂😂🤣😅😅😂😂😂😂😅😅🤣😂😂🤣🤣😂🤣🤣😅🤣🤣😅🤣🤣
yadymy2012,18127621555516086,https://www.instagram.com/p/DTMIoBZjP-K/,Quiero mi marquesita con mucho quesitooo 🙏🏻🙏🏻🙏🏻
uzielvega,18135853687469872,https://www.instagram.com/p/DTMIoBZjP-K/,Me siento igual cuando dicen que el chile en nogada no es capeado🙌
anuarmena,18107272009658201,https://www.instagram.com/p/DTMIoBZjP-K/,Confirmo
